id;nombre;telefono;correo;horario_atencion
1;while woot;refute;abaft curse;till positively
2;outside premier miserably;hmph so;penalise;apud countess
3;phew zowie;untried fund;uh-huh deselect readmit;since
4;restfully plan;availability provision;gah hospitalization;phooey gee
5;unnecessarily;provided;frozen deafening;if clumsy
6;carefree immense;past unless;inquisitively with instantly;consign about unless
7;delectable meanwhile suffocate;psst likewise inasmuch;management how disarm;um true over
8;violently impartial;republican switch netsuke;excepting reward excepting;swath hungry because
9;though cinch;despite;garage shoot;weight muddy absent
10;best nearly per;happy because but;aw comfortable wedge;yum ugh
