id;id_direccion;pais;provincia;ciudad;calles;nro_domicilio
1;1560;minus before hunt;duh than as;shear;recommendation;down statement furthermore
2;28751;whenever hence;once however oh;tempting;whereas knowingly busily;unique meanwhile
3;22091;enfold apropos fervently;lest;chase strictly judgementally;bourgeoisie to tune-up;step
4;7809;but charming;frantically;ouch furiously yum;sans;woot oof sugary
5;6088;gadzooks;blah even cavernous;till hubris;without;rationalise phooey responsibility
6;26293;incidentally;oof recovery;eminent truthfully;joyously;instead pants celebrate
7;15771;woot puritan;following;mindless;tarry loyally sense;brook produce below
8;20665;corral needily terrorise;boring netsuke;deficient;legend nautical;whenever unethically yum
9;9482;unearth pfft;jagged while injunction;until impure;outside;afterwards as
10;15910;often stunt hm;clumsy cope heroine;ha after near;verify via;tricky
