id;especialidad;codigo_doctor;nro_consultorio;foto_url
1;upset gah;asset;considering hm aw;whoa
2;aha engage brief;trustworthy nougat editor;unwilling hospitalization;independence truthfully stormy
3;though;defiantly obediently;who antelope chap;milestone
4;aha vice fencing;outgoing phew;since suspiciously;about cassava
5;impolite hm apropos;finally across noisily;topsail because heartfelt;archaeology
6;savour when gee;greedily;glass grandson;nutritious mid elver
7;ugh excluding;um;like equate since;meatloaf exalted but
8;hmph;corny before screw;after;unless
9;short-term easily qua;since sticky;loudly;because handsome corner
10;hence;whether near;suffocate doubtfully;vacation
