id;desde;hasta;hora_inicio;hora_fin;duracion_minutos;dia_semana;es_horario_atencion;estado;desde_hora_almuerzo;hasta_hora_almuerzo
1;2024-11-05;2024-11-05;2024-11-05T15:33:36;2024-11-05T10:31:09;1845;indeed woot;true;shore;2024-11-05T19:27:00;2024-11-05T13:19:16
2;2024-11-05;2024-11-05;2024-11-05T21:49:55;2024-11-05T01:29:38;28493;lest infinite;true;shaft authentic;2024-11-05T15:01:05;2024-11-05T16:17:39
3;2024-11-05;2024-11-05;2024-11-05T08:50:07;2024-11-05T18:00:54;2343;notwithstanding internal;true;quintessential indeed chops;2024-11-05T23:13:48;2024-11-05T00:14:39
4;2024-11-05;2024-11-05;2024-11-05T03:24:42;2024-11-05T18:32:11;26592;foolishly up;false;whereas clonk;2024-11-05T03:32:01;2024-11-05T08:36:26
5;2024-11-05;2024-11-05;2024-11-04T23:55:35;2024-11-05T03:10:26;32188;curiously;true;consequently junior;2024-11-05T09:16:57;2024-11-05T21:34:52
6;2024-11-05;2024-11-05;2024-11-05T15:48:10;2024-11-05T09:49:25;16036;amazing;false;intensely shoulder;2024-11-05T09:54:02;2024-11-05T16:50:32
7;2024-11-05;2024-11-05;2024-11-05T16:22:54;2024-11-05T10:57:52;15568;contravene regulate igloo;false;interchange;2024-11-05T10:19:59;2024-11-05T02:18:51
8;2024-11-05;2024-11-05;2024-11-05T16:42:42;2024-11-05T18:05:17;17995;entomb ouch;true;desecrate woot afore;2024-11-05T07:51:52;2024-11-05T14:09:26
9;2024-11-05;2024-11-05;2024-11-05T19:07:20;2024-11-05T18:36:37;20018;any abnormally under;true;convection once long-term;2024-11-05T07:41:27;2024-11-05T06:11:15
10;2024-11-05;2024-11-05;2024-11-05T00:02:50;2024-11-05T21:33:45;2965;ack yet;false;ew shanghai doubtfully;2024-11-05T00:02:21;2024-11-05T13:29:32
